Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
United States Space Force,https://www.crunchbase.com/organization/united-states-space-force,9,1,"Washington, District of Columbia, United States","The USSF is a military service that organizes, trains, and equips space forces in order to protect U.S. and allied interests.",Government Office,,9,"19,482"
CDC Enterprises,https://www.crunchbase.com/organization/cdc-enterprises-2,25,14,"Paris, Ile-de-France, France","CDC Enterprises is a French Government (French treasury) owned â‚¬150 million fund of funds, that encourages more early-stage co-funds.","Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity",6,"19,385"
InvestMichigan,https://www.crunchbase.com/organization/investmichigan-credit-suisse,52,28,"Farmington Hills, Michigan, United States","The InvestMichigan! Growth Capital Funds are managed by Beringea and GCM Customized Fund Investment Group, L.P.","Government Office, Private Equity Firm",Late Stage Venture,4,"19,281"
Kinecta,https://www.crunchbase.com/organization/kinecta-federal-credit-union,1,,"Alexandria, Virginia, United States",Kinecta operates as a credit union and providing banking services to its members.,Government Office,Venture,,"19,266"
Nebraska Public Service Commission,https://www.crunchbase.com/organization/nebraska-public-service-commission,5,2,"Lincoln, Nebraska, United States","The Public Service Commission regulates telecommunications carriers, natural gas jurisdictional utilities, and major oil pipelines.",Government Office,,5,"19,246"
National Security Agency,https://www.crunchbase.com/organization/national-security-agency,7,,"Fort George G Meade, Maryland, United States",Defending Our Nation. Securing The Future.,Government Office,,6,"19,240"
UNIIQ,https://www.crunchbase.com/organization/uniiq,61,1,"Den Haag, Zuid-Holland, The Netherlands",UNIIQ is mede mogelijk gemaakt door de Europese Unie.,"Government Office, Incubator",,37,"19,228"
Innogy,https://www.crunchbase.com/organization/innogy-se,8,2,"Essen, Nordrhein-Westfalen, Germany",Innogy is an energy company that generates energy from renewable sources and ensures that the electricity arrives at home.,Government Office,Early Stage Venture,3,"19,185"
OTP Bank,https://www.crunchbase.com/organization/otp-bank,3,,"Budapest, Budapest, Hungary","OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",Government Office,,,"19,103"
Investment Management Corporation of Ontario,https://www.crunchbase.com/organization/investment-management-corporation-of-ontario,5,2,"Toronto, Ontario, Canada",IMCO is Ontario’s professional asset manager.,Government Office,,3,"18,987"
Deakin University,https://www.crunchbase.com/organization/deakin-university,2,,"Waurn Ponds, Victoria, Australia",Deakin University enables globally connected education for the jobs of the future and research that makes a difference to communities.,University Program,,,"18,817"
Government of United States of America,https://www.crunchbase.com/organization/government-of-united-states-of-america,13,3,"Washington, District of Columbia, United States",The government of the United States of America is the federal government of the republic of fifty states.,Government Office,Grant,12,"18,776"
Abu Dhabi Investment Office (ADIO),https://www.crunchbase.com/organization/abu-dhabi-investment-office-adio,11,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",ADIO is the central government hub supporting investment in the Emirate of Abu Dhabi,Government Office,,11,"18,672"
Reichman University,https://www.crunchbase.com/organization/idc-herzliya,,,"Herzliya, Tel Aviv, Israel",Reichman University is an academic institution that provides students with theoretical background essential for success.,University Program,,,"18,640"
Gestion De Capital Riesgo Del Pais Vasco,https://www.crunchbase.com/organization/gestin-de-capital-riesgo-del-pas-vasco,21,,"Bilbao, Pais Vasco, Spain","GestiÃ³n de Capital Riesgo del PaÃ­s Vasco SGECR, S.A. is a venture capital entity management company founded in 1985 by the Basque","Government Office, Venture Capital",,7,"18,590"
Transdev,https://www.crunchbase.com/organization/veolia-transdev,6,1,"Issy-les-moulineaux, Ile-de-France, France","With its complementary geographic footprint, expertise and service offerings, Transdev offers a unique response to public transport needs.",Government Office,,,"18,573"
Alfred P. Sloan Foundation,https://www.crunchbase.com/organization/alfred-p-sloan-foundation,252,1,"New York, New York, United States","The Alfred P. Sloan Foundation is a philanthropic nonprofit institution established by Alfred Pritchard Sloan, Jr., former President and",University Program,Grant,225,"18,564"
Dubai Electricity and Water Authority,https://www.crunchbase.com/organization/dubai-electricity-and-water-authority,1,,"Dubai, Dubai, United Arab Emirates",Dubai Electricity and Water Authority (DEWA) is the exclusive provider of electricity and water services in Dubai.,Government Office,,1,"18,547"
Natural Energy Laboratory of Hawaii Authority,https://www.crunchbase.com/organization/natural-energy-laboratory-of-hawaii-authority,,,"Kailua Kona, Hawaii, United States","Aloha from the world’s premier Hawaii Ocean Science and Technology Park (HOST Park) where we grow sustainable industries using sunshine,",Government Office,,,"18,509"
New Zealand Venture Investment Fund,https://www.crunchbase.com/organization/new-zealand-venture-investment-fund,36,5,"Auckland, Auckland, New Zealand","New Zealand Venture Investment Fund, a New Zealand-based private equity fund, manages fund of funds investments and direct co-investments.","Government Office, Private Equity Firm","Early Stage Venture, Seed",3,"18,410"
Maine Technology Institute,https://www.crunchbase.com/organization/maine-technology-institute,702,16,"Brunswick, Maine, United States",Maine Technology Institute invests in promising technologies by funding research and development projects in the state's seven.,"Government Office, Incubator","Debt, Grant",570,"18,376"
Innovation Design and Entrepreneurship Academy- IDEA,https://www.crunchbase.com/organization/innovation-design-and-entrepreneurship-academy-idea,7,,"Dhaka, Dhaka, Bangladesh","The ""innovation Design and Entrepreneurship Academy (iDEA)"" is moving forward to build a sustainable startup culture in Bangladesh","Accelerator, Government Office",Grant,2,"18,375"
Federal Home Loan Bank of Dallas,https://www.crunchbase.com/organization/federal-home-loan-bank-of-dallas,7,,"Irving, Texas, United States",Federal Home Loan Bank of Dallas is a bank that specializes in credit products and services in Dallas.,Government Office,,5,"18,362"
Welsh Development Agency,https://www.crunchbase.com/organization/welsh-development-agency,6,1,"Cardiff, Cardiff, United Kingdom",Welsh Development Agency is a company that offers health and social services.,"Government Office, Micro VC",Seed,,"17,977"
CORFO,https://www.crunchbase.com/organization/corfo,97,2,"Santiago, Region Metropolitana, Chile",CORFO is a Santiago-based executing agency of government policy in the fields of entrepreneurship and innovation.,Government Office,"Grant, Seed",40,"17,956"
Hong Kong Science and Technology Parks Corporation,https://www.crunchbase.com/organization/hong-kong-science-and-technology-parks-corporation,25,2,"Sha Tin, New Territories, Hong Kong",HKSTP is a statutory body dedicated to building a vibrant innovation and technology ecosystem to connect stakeholders,Government Office,Early Stage Venture,9,"17,911"
AQC Capital,https://www.crunchbase.com/organization/anges-québec-capital,71,6,"Montréal, Quebec, Canada",AQC Capital is an investment fund created to provide financial support to members of the Réseau Anges Québec.,"Government Office, Incubator",,7,"17,859"
DBJ Capital,https://www.crunchbase.com/organization/dbj-capital,143,27,"Otemachi, Tokyo, Japan","DBJ Capital invests in seed-stage and post-IPO companies in the Chinese IT, bio healthcare, manufacturing, and services-related industries.","Government Office, Venture Capital","Late Stage Venture, Seed",21,"17,681"
IDH,https://www.crunchbase.com/organization/idh-the-sustainable-trade-initiative,6,,"Utrecht, Utrecht, The Netherlands","IDH is the Sustainable Trade Initiative that brings governments, companies, CSOs, and financiers together in action-driven coalitions.",Government Office,,4,"17,642"
California HealthCare Foundation,https://www.crunchbase.com/organization/california-healthcare-foundation,12,3,"Oakland, California, United States",California HealthCare Foundation works as a catalyst fulfill the promise of better health care for all Californians.,"Government Office, Venture Capital",Grant,4,"17,626"
Caisse de Depot et Placement du Quebec,https://www.crunchbase.com/organization/caisse-de-depot-et-placement-du-quebec,198,67,"Montréal, Quebec, Canada",Caisse de Depot et Placement du Quebec is a Canadian fund management company focused on retirement plans and insurance policies.,"Government Office, Private Equity Firm","Early Stage Venture, Late Stage Venture",98,"17,513"
University of Tennessee Research Foundation (UTRF),https://www.crunchbase.com/organization/university-of-tennessee-research-foundation-utrf,1,,"Knoxville, Tennessee, United States",The University of Tennessee Research Foundation is a non-profit 501(c)(3) organization that promotes the commercialization of UT,University Program,,,"17,251"
US Air Force Reserve,https://www.crunchbase.com/organization/us-air-force-reserve,2,,"Warner Robins, Georgia, United States",US Air Force Reserve is an integral part of the nation's defense.,Government Office,,2,"17,128"
Biomedical Advanced Research and Development Authority (BARDA),https://www.crunchbase.com/organization/biomedical-advanced-research-and-development-authority-barda,57,26,"Washington, District of Columbia, United States",BARDA within the Office of the Assistant Secretary for Preparedness and Response in the U.S. Department of Health and Human Services.,Government Office,,52,"17,102"
Re-Pie Asset Management,https://www.crunchbase.com/organization/re-pie-asset-management,33,1,"Istanbul, Istanbul, Turkey",Re-Pie is an asset management company.,"Angel Group, Family Investment Office, Pension Funds, University Program","Early Stage Venture, Private Equity, Seed",15,"17,033"
Pacific Economic Development Canada,https://www.crunchbase.com/organization/pacific-economic-development-canada,58,3,"Vancouver, British Columbia, Canada",Pacific Economic Development Canada is the regional development agency focused on British Columbia’s evolving economy.,Government Office,,56,"17,026"
University College London (UCL),https://www.crunchbase.com/organization/university-college-london-ucl,3,,"London, England, United Kingdom","UCL is one of the world's leading universities, founded in London to open up education to all on equal terms.",University Program,,2,"16,894"
IDA Ireland,https://www.crunchbase.com/organization/ida-ireland,5,1,"New York, New York, United States","IDA Ireland, an inward investment promotion agency, responsible for the attraction and development of foreign investments in Ireland.",Government Office,Grant,2,"16,748"
WaFd Bank,https://www.crunchbase.com/organization/washington-federal,3,,"Seattle, Washington, United States",WaFd Bank provides banking and financial services.,Government Office,,2,"16,687"
Development Bank of Wales,https://www.crunchbase.com/organization/development-bank-of-wales,248,26,"Cardiff, Cardiff, United Kingdom",Development Bank of Wales provides flexible finance for businesses based in Wales.,"Government Office, Micro VC","Debt, Seed",148,"16,673"
Comerica Bank,https://www.crunchbase.com/organization/comerica-bank-9d2e,8,1,"Philadelphia, Pennsylvania, United States",Comerica Bank provides companies of all sizes with an array of credit and non-credit financial products and services.,Government Office,,5,"16,543"
National Institute on Drug Abuse (NIDA),https://www.crunchbase.com/organization/national-institute-on-drug-abuse-nida,53,9,"Bethesda, Maryland, United States",National Institute on Drug Abuse (NIDA) is a United States federal-government research institute.,Government Office,,39,"16,492"
Colorado Office of Economic Development and International Trade,https://www.crunchbase.com/organization/colorado-office-of-economic-development-and-international-trade,19,2,"Denver, Colorado, United States",Colorado OEDIT works with statewide partners to create a positive business climate that encourages quality economic development. ,Government Office,,18,"16,490"
NGS Super,https://www.crunchbase.com/organization/ngs-super,7,,"Melbourne, Victoria, Australia",NGS Super provides SuperFund for those in non-government education and community organizations.,Government Office,Late Stage Venture,,"16,470"
"Department for Business, Energy and Industrial Strategy",https://www.crunchbase.com/organization/department-for-business-energy-and-industrial-strategy,16,1,"London, England, United Kingdom","Department for Business, Energy and Industrial Strategy is a department of the government of the United Kingdom.",Government Office,Venture,11,"16,342"
Innovation Fund Denmark,https://www.crunchbase.com/organization/innovation-fund-denmark,70,5,"Copenhagen, Hovedstaden, Denmark",Innovation Fund Denmark invests provides risk capital for the development of the technology industry in Denmark.,Government Office,Grant,21,"16,276"
Bank Central Asia,https://www.crunchbase.com/organization/bank-central-asia,3,1,"Jakarta, Jakarta Raya, Indonesia",Bank Central Asia is an Indonesian private bank that provides financial solutions to achieve optimal satisfaction for customers.,Government Office,,1,"16,179"
U.S. Department of Veteran Affairs,https://www.crunchbase.com/organization/u-s-department-of-veteran-affairs,4,1,"Washington, District of Columbia, United States",The United States Department of Veterans Affairs is a government-run military veteran benefit system.,Government Office,,4,"16,090"
North Central Massachusetts Development Corp,https://www.crunchbase.com/organization/north-central-massachusetts-development-corp,5,,"Fitchburg, Massachusetts, United States",North Central Massachusetts Development is a non-profit corporation with the mission of creating jobs .,Government Office,,5,"16,081"
First National Bank,https://www.crunchbase.com/organization/first-national-bank-of-south-africa,2,,"Johannesburg, NA - South Africa, South Africa","First National Bank provides personal, private, business, commercial and corporate banking services to millions of customers.",Government Office,,,"16,039"
Central Intelligence Agency (CIA),https://www.crunchbase.com/organization/central-intelligence-agency,1,,"Washington, District of Columbia, United States",The Central Intelligence Agency provides national security intelligence services.,"Corporate Venture Capital, Government Office, Investment Bank, Pension Funds, Private Equity Firm","Crowdfunding, Early Stage Venture, Initial Coin Offering, Secondary Market",,"15,827"
U.S. Department of Commerce,https://www.crunchbase.com/organization/u-s-department-of-commerce,33,2,"Washington, District of Columbia, United States","U.S. Department of Commerce promotes advance economic growth, jobs, and opportunities for the American people.",Government Office,,31,"15,827"
International Trade Centre,https://www.crunchbase.com/organization/international-trade-centre,158,,"Geneva, Geneve, Switzerland",ITC is the joint agency of the World Trade Organization and the United Nations that supports sustainable trade in emerging economies.,Government Office,,105,"15,712"
Startup Bangladesh,https://www.crunchbase.com/organization/startup-bangladesh,34,,"Dhaka, Dhaka, Bangladesh",Startup Bangladesh is the first and only venture capital fund sponsored by the Government of the People’s Republic of Bangladesh.,"Fund Of Funds, Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",16,"15,707"
New Mexico Economic Development Department,https://www.crunchbase.com/organization/new-mexico-economic-development-department,46,3,"Santa Fe, New Mexico, United States",The New Mexico Economic Development Department develops special programs to help grow business in New Mexico,Government Office,,44,"15,347"
Prairies Economic Development Canada,https://www.crunchbase.com/organization/prairies-economic-development-canada,43,3,"Edmonton, Alberta, Canada",Prairies Economic Development Canada (PrairiesCan) is the department that diversifies the economy across the Canadian Prairies.,Government Office,Grant,41,"15,219"
U.S. Department of Labor,https://www.crunchbase.com/organization/u-s-department-of-labor,70,,"Washington, District of Columbia, United States",U.S. Department of Labor is a cabinet-level department of the U.S. federal government.,Government Office,,68,"15,186"
BankUnited,https://www.crunchbase.com/organization/bankunited,2,,"Miami Lakes, Florida, United States","BankUnited, Inc. (BKU) is a bank holding company with three wholly owned subsidiaries:",Government Office,,,"15,067"
United States Air Force,https://www.crunchbase.com/organization/united-states-air-force,11,1,"Washington, District of Columbia, United States","United States Air Force is an aerial arm of the armed forces that provides compelling air, space, and cyber capabilities.",Government Office,,5,"15,040"
The Caisse des Dépôts,https://www.crunchbase.com/organization/the-caisse-des-d-p-ts,32,1,"Paris, Ile-de-France, France",The Caisse des Dépôts is a French financial organization investing in development projects that serve general interest and more.,Government Office,,10,"14,989"
U.S. Food and Drug Administration,https://www.crunchbase.com/organization/u-s-food-and-drug-administration,28,7,"Silver Spring, Maryland, United States",U.S. Food and Drug Administration is a federal agency responsible for protecting and promoting public health.,Government Office,,21,"14,910"
Frumtak Ventures,https://www.crunchbase.com/organization/frumtak,33,2,"Reykjavík, Gullbringusysla, Iceland",Frumtak Ventures invests in teams and ideas that solve real-world problems and reinforces Iceland's reputation for profitable innovation.,"Government Office, Venture Capital",Early Stage Venture,22,"14,753"
The White House,https://www.crunchbase.com/organization/the-white-house,1,,"Washington, District of Columbia, United States",The White House is the official residence and principal workplace of the President of the United States.,Government Office,,1,"14,617"
Stanford Graduate School of Business,https://www.crunchbase.com/organization/stanford-graduate-school-of-business,3,,"Stanford, California, United States",Stanford GSB is a business management school that creates ideas that deepen and advance understanding of management.,University Program,,1,"14,562"
Department for Energy Security & Net Zero,https://www.crunchbase.com/organization/department-for-energy-security-net-zero,21,2,"London, England, United Kingdom","DESNZ is focused on the energy portfolio from the former Department for Business, Energy and Industrial Strategy (BEIS).",Government Office,,19,"14,561"
Canadian Food Innovation Network,https://www.crunchbase.com/organization/canadian-food-innovation-network,9,2,"Guelph, Ontario, Canada",Canadian Food Innovation Network is a not-for-profit organization supported by the Government of Canada’s Strategic Innovation Fund.,Government Office,,9,"14,532"
U.S. Small Business Administration,https://www.crunchbase.com/organization/u-s-small-business-administration,69,1,"Washington, District of Columbia, United States","U.S. Small Business Administration is a government agency that provides advice, assistance, and protection to small business concerns.",Government Office,,45,"14,495"
Government of British Columbia,https://www.crunchbase.com/organization/government-of-british-columbia,14,2,"Victoria, British Columbia, Canada",Government of British Columbia is helping citizens access government services through the internet.,Government Office,,11,"14,490"
U.S. Bank Trust National Association,https://www.crunchbase.com/organization/u-s-bank-trust-national-association,5,4,"Wilmington, Delaware, United States",U.S. Bank Trust National Association offers financial services. The company was formerly known as First Trust National Association.,Government Office,,3,"14,386"
HYU Holdings,https://www.crunchbase.com/organization/hyu-holdings,7,,"Seoul, Seoul-t'ukpyolsi, South Korea",HYU Holdings is a university-based investment holding company that offers consulting services for startup and pre-IPO companies.,University Program,,3,"14,353"
European Network of AI Excellence Centres,https://www.crunchbase.com/organization/european-network-of-ai-excellence-centres,16,,"Espoo, Southern Finland, Finland","EU-funded European Network of AI Excellence Centres - ELISE, a network of artificial intelligence research hubs",University Program,Grant,16,"14,257"
"National Heart, Lung and Blood Institute",https://www.crunchbase.com/organization/national-heart-lung-and-blood-institute,47,3,"Bethesda, Maryland, United States"," National Heart, Lung, and Blood Institute is the third largest Institute of the National Institutes of Health",Government Office,,44,"14,201"
Kuwait Investment Authority,https://www.crunchbase.com/organization/kuwait-investment-authority,12,8,"Kuwait, Al Kuwayt, Kuwait",Manager and administrator of Kuwaiti government's investment funds.,"Government Office, Venture Capital",Private Equity,3,"14,165"
Kyowa Kirin,https://www.crunchbase.com/organization/kyowa-hakko-kirin,4,1,"Tokyo, Tokyo, Japan",Kyowa Kirin is a pharmaceutical company contributing to human health and well-being of people around the world.,Government Office,"Debt, Post-Ipo",1,"14,162"
L-Bank,https://www.crunchbase.com/organization/l-bank,21,3,"Karlsruhe, Baden-Wurttemberg, Germany","The L-Bank is committed to ensuring a high-performing economy, a high quality of life and a secure future.","Government Office, Investment Bank",Early Stage Venture,11,"14,108"
National Security Strategic Investment Fund,https://www.crunchbase.com/organization/national-security-strategic-investment-fund,8,,"London, England, United Kingdom",National Security Strategic Investment Fund is a corporate venturing arm for dual-use advanced technologies.,"Corporate Venture Capital, Government Office",,1,"14,089"
Western Development Commission,https://www.crunchbase.com/organization/western-development-commission,38,5,"Ballaghaderreen, Roscommon, Ireland",Western Development Commission is a statutory body that set up to promote both social and economic development.,Government Office,"Early Stage Venture, Seed",6,"14,082"
Macomb County,https://www.crunchbase.com/organization/macomb-county,1,,"Mount Clemens, Michigan, United States","Macomb County is characterized by dynamic urban clusters, expansive networks of industry and commerce.",Government Office,,,"14,050"
Innovation Norway,https://www.crunchbase.com/organization/innovation-norway,60,5,"Oslo, Oslo, Norway",Norwegian Government's most important instrument for innovation and development of Norwegian enterprises and industry,"Government Office, Micro VC","Grant, Seed",25,"14,045"
Allstate Foundation,https://www.crunchbase.com/organization/allstate-foundation,1,,"Northbrook, Illinois, United States","Allstate Foundation is an independent, charitable organization made possible by subsidiaries of The Allstate Corporation.",Government Office,,1,"13,852"
aws Fondsmanagement GmbH,https://www.crunchbase.com/organization/austria-wirtschaftsservice,42,4,"Vienna, Wien, Austria",Austria Wirtschaftsservice is an Austrian federal development and financing bank for the promotion and financing of companies.,"Angel Group, Government Office","Debt, Early Stage Venture, Grant, Seed",11,"13,376"
The North Atlantic Treaty Organization,https://www.crunchbase.com/organization/nato,3,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",North Atlantic Treaty Organization is a military alliance formed between 26 nations to enforce the North Atlantic Treaty of 1949.,Government Office,,1,"13,225"
Imperial Innovations,https://www.crunchbase.com/organization/imperial-innovations,96,20,"London, England, United Kingdom",Imperial Innovations is a technology commercialization and venture capital investor that focuses on technology.,University Program,,48,"12,986"
Netherlands Enterprise Agency,https://www.crunchbase.com/organization/netherlands-enterprise-agency,45,3,"Assen, Drenthe, The Netherlands","Netherlands Enterprise Agency  encourages entrepreneurs in sustainable, agrarian, innovative, and international businesses.",Government Office,,22,"12,968"
SEK,https://www.crunchbase.com/organization/sek-2fe7,8,4,"Stockholm, Stockholms Lan, Sweden","SEK provides finance solutions to exporters, suppliers, contractors, sub-contractors & international buyers of Swedish products & services.",Government Office,,3,"12,899"
European Research Council,https://www.crunchbase.com/organization/european-research-council,4,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","The European Research Council is a European funding initiative, designed to support the scientists, engineers, and scholars in Europe.",Government Office,,1,"12,816"
WRF Capital,https://www.crunchbase.com/organization/wrf-capital-282a,31,12,"Seattle, Washington, United States",WRF Capital supports groundbreaking research and early-stage companies that focus on life sciences and enabling technologies.,Government Office,,3,"12,775"
China Construction Bank,https://www.crunchbase.com/organization/china-construction-bank,19,5,"Beijing, Beijing, China",China Construction Bank is a commercial bank engages in the provision of financial and banking services.,Government Office,,5,"12,771"
National Research Council Canada,https://www.crunchbase.com/organization/national-research-council-canada,48,5,"Ottawa, Ontario, Canada","National Research Council Canada is the government organization that offers research, development and technology-based innovation.",Government Office,Grant,19,"12,579"
National Kidney Foundation,https://www.crunchbase.com/organization/national-kidney-foundation,5,,"New York, New York, United States","The National Kidney Foundation, Inc. is a major voluntary health organization in the United States",Government Office,,5,"12,568"
Shenzhen Capital Group,https://www.crunchbase.com/organization/shenzhen-capital-group,519,89,"Shenzhen, Guangdong, China",Shenzhen Capital Group is a venture capital company focused on cultivating national industries and shaping national brands.,"Government Office, Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",190,"12,508"
Skolkovo Foundation,https://www.crunchbase.com/organization/skolkovo-foundation,48,2,"Moscow, Moscow City, Russian Federation",Skolkovo Foundation is a Russian organization that fosters startups and venture capitals.,Government Office,"Early Stage Venture, Grant, Seed",3,"12,506"
NRW.BANK,https://www.crunchbase.com/organization/nrw-bank,87,14,"Düsseldorf, Nordrhein-Westfalen, Germany",NRW.BANK is a financial group that supports investment and development in the NRW state of Germany.,"Government Office, Investment Bank","Early Stage Venture, Late Stage Venture, Seed",19,"12,485"
Vinnova,https://www.crunchbase.com/organization/vinnova,67,10,"Stockholm, Stockholms Lan, Sweden",Vinnova is Sweden's innovation agency,Government Office,Grant,42,"12,459"
Ontario,https://www.crunchbase.com/organization/ontario-2,29,4,"Toronto, Ontario, Canada",Ontario.ca is the official website of the Ontario government.,Government Office,,12,"12,402"
Halifax Partnership,https://www.crunchbase.com/organization/halifax-partnership,6,1,"Halifax, Nova Scotia, Canada","Halifax Partnership is an economic development organization that focuses on business, collab, support, and growth for the region.",Government Office,Grant,6,"12,399"
University of Wisconsin Foundation,https://www.crunchbase.com/organization/university-of-wisconsin-foundation,2,,"Madison, Wisconsin, United States",The University of Wisconsin Foundation is a fundraising and gift-receiving organization for the University of Wisconsin-Madison.,University Program,,,"12,345"
Minority Business Development Agency,https://www.crunchbase.com/organization/minority-business-development-agency,12,,"Washington, District of Columbia, United States",Minority Business Development Agency is to promote the growth of minority-owned businesses.,Government Office,,12,"12,264"
Tesi,https://www.crunchbase.com/organization/tesi,122,17,"Helsinki, Southern Finland, Finland",Tesi is a venture capital and private equity company that accelerates companies’ success stories by investing in them.,"Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",21,"12,263"
Export-Import Bank of the United States,https://www.crunchbase.com/organization/export-import-bank-of-the-united-states,5,2,"Washington, District of Columbia, United States",The Export-Import Bank of the United States is the official export credit agency of the United States federal government.,Government Office,,5,"12,236"
Atlanta Regional Commission,https://www.crunchbase.com/organization/atlanta-regional-commission,1,,"Atlanta, Georgia, United States",The Atlanta Regional Commission is the regional planning and intergovernmental coordination agency for the 10-county Atlanta region.,Government Office,,1,"12,230"
PGGM Investments,https://www.crunchbase.com/organization/pggm-investments,4,3,"Zeist, Utrecht, The Netherlands",PGGM is a cooperative at the heart of society,Government Office,,1,"12,177"
University of New South Wales,https://www.crunchbase.com/organization/university-of-new-south-wales,3,,"Sydney, New South Wales, Australia",UNSW Australia (The University of New South Wales)one of Australia's leading research and teaching universities.,University Program,,,"12,162"
State of Wisconsin Investment Board,https://www.crunchbase.com/organization/state-of-wisconsin-investment-board,28,7,"Madison, Wisconsin, United States",SWIB's investments are managed by its own professional staff and by outside money manager firms.,Government Office,Early Stage Venture,3,"12,143"
Holekamp Seed Fund,https://www.crunchbase.com/organization/holekamp-seed-fund,59,,"St Louis, Missouri, United States",Startup grant fund for Washington University in St. Louis student startups,University Program,Grant,59,"12,106"
China Structural Reform Fund,https://www.crunchbase.com/organization/china-structural-reform-fund,34,6,"Beijing, Beijing, China",China Structural Reform Fund is a state-owned private equity fund.,Government Office,,15,"12,082"
Ingram Content Group,https://www.crunchbase.com/organization/ingram-content-group,9,,"La Vergne, Tennessee, United States","Ingram Content Group distributes physical and digital content to retailers, libraries, schools and other distribution partners.",Government Office,"Seed, Venture",,"11,943"
Avathon Capital,https://www.crunchbase.com/organization/avathon-capital,2,1,"Chicago, Illinois, United States",Avathon Capital is an investment platform,University Program,,2,"11,838"
SRI International,https://www.crunchbase.com/organization/sri-international,29,8,"Menlo Park, California, United States","SRI International is a nonprofit, independent research center serving government and industry.",Government Office,,1,"11,786"
Wilbe | Home for Scientist Leaders,https://www.crunchbase.com/organization/wilbe-ventures,5,,"London, England, United Kingdom","We educate, build with and invest in scientists who are solving the world’s hardest problems.","Entrepreneurship Program, Incubator, University Program, Venture Capital",Early Stage Venture,,"11,717"
Virginia Department of Housing and Community Development (DHCD),https://www.crunchbase.com/organization/virginia-department-of-housing-and-community-development-dhcd,3,,"Richmond, Virginia, United States","DHCD is committed to creating safe, affordable and prosperous communities to live, work and do business in Virginia.",Government Office,,3,"11,715"
University of Oxford,https://www.crunchbase.com/organization/university-of-oxford,20,6,"Oxford, Oxfordshire, United Kingdom","Oxford is a center of learning, teaching and research, and the oldest university in the English-speaking world.",University Program,,1,"11,712"
Air Force Research Laboratory,https://www.crunchbase.com/organization/air-force-research-laboratory-76a3,23,2,"Ohio, Illinois, United States","Air Force Research leads the discovery, development and delivery of warfighting technologies for our air, space and cyberspace forces.",Government Office,,8,"11,691"
Capital Area Food Bank,https://www.crunchbase.com/organization/capital-area-food-bank,,,"Washington, District of Columbia, United States",Capital Area Food Bank is delivering food to solve hunger and its companion problems.,Government Office,,,"11,659"
Loyola University Maryland,https://www.crunchbase.com/organization/loyola-university-maryland,1,1,"Baltimore, Maryland, United States","Loyola University Maryland is a private institution located in Baltimore, Maryland.",University Program,,,"11,634"
KDB Capital,https://www.crunchbase.com/organization/kdb-capital,78,5,"Seoul, Seoul-t'ukpyolsi, South Korea","KDB Capital finances offers investment, corporate loan, lease, auto financial, and commercial card services for companies in South Korea.","Government Office, Venture Capital",Early Stage Venture,4,"11,557"
UPMC,https://www.crunchbase.com/organization/upmc,27,10,"Pittsburgh, Pennsylvania, United States",UPMC is one of the leading nonprofit health systems in the United States. A $10 billion integrated global health enterprise headquartered,University Program,,13,"11,540"
Z80 Labs Technology Incubator,https://www.crunchbase.com/organization/z80-labs-technology-incubator,36,2,"Buffalo, New York, United States",Z80 Labs Technology Incubator provides facilities and funding for early stage companies to ignite the internet-based technology sector.,"Government Office, Incubator","Early Stage Venture, Seed",3,"11,342"
Government of the Northwest Territories,https://www.crunchbase.com/organization/government-of-the-northwest-territories,1,,"Yellowknife, Northwest Territories, Canada",Government of the Northwest Territories is a government administration.,Government Office,,1,"11,243"
Enterprise Singapore,https://www.crunchbase.com/organization/enterprise-singapore,35,2,"Singapore, Central Region, Singapore",Enterprise Singapore is a government agency that supports enterprise development.,Government Office,Seed,5,"11,172"
Tees Valley Combined Authority,https://www.crunchbase.com/organization/tees-valley-combined-authority,1,,"Darlington, Durham, United Kingdom","Tees Valley Combined Authority help ambitious SME businesses and budding entrepreneurs in Darlington, Hartlepool, Middlesbrough.",Government Office,,1,"11,085"
CDC Group,https://www.crunchbase.com/organization/cdc-group,122,24,"London, England, United Kingdom",CDC is the UK's development finance institution.,"Government Office, Venture Capital","Early Stage Venture, Late Stage Venture",57,"10,986"
Oweesta,https://www.crunchbase.com/organization/oweesta,1,,"Longmont, Colorado, United States",Oweesta offers culturally appropriate training programs to help Native organizations establish and sustain financial education.,Government Office,,1,"10,937"
Japan Finance Corporation,https://www.crunchbase.com/organization/japan-finance-corporation-54d8,223,10,"Tokyo, Tokyo, Japan",Is a public corporation that provides financial services in Japan and internationally.,Government Office,,52,"10,901"
