Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
The Grant Science Lab,https://www.crunchbase.com/organization/the-grant-science-lab,"Consulting, Creative Agency, Management Consulting","Atlanta, Georgia, United States",The Grant Science Lab is a consultation agency company that specializes in editorial and scientific.,"3,200,991","Greater Atlanta Area, East Coast, Southern US",Active,2012-01-01,day,,,,,For Profit,http://thegrantsciencelab.com,,"Content and Publishing, Media and Entertainment, Professional Services",,,,,,,,,,,,,
Capital Children's General Anesthesia Dentistry,https://www.crunchbase.com/organization/capital-children-s-general-anesthesia-dentistry,"Child Care, Dental, Health Care","Upper Marlboro, Maryland, United States",Capital Children's General Anesthesia Dentistry provides pediatric dentistry.,"3,200,994","Washington DC Metro Area, East Coast, Southern US",Active,,,,,,,For Profit,https://www.capitalchildrens.com ,"Capital Children's General Anesthesia Dentistry offers dental cleanings, exams, brushing, teeth whitening, bonding, veneers, fillings, root canal therapy, and fixed bridge services. They provide health care services for children. An online inquiry form is available on the company's website.",Health Care,,,,,,,,,,,,,
VPD Online Solutions,https://www.crunchbase.com/organization/vpd-online-solutions,"Advertising, Internet, Marketing, SEO","New York, New York, United States",VPD Online Solutions process is designed to empower your brand and outfit your business with marketing.,"3,200,998","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,https://vpdos.com/,,"Advertising, Internet Services, Sales and Marketing",,,,,,,,,,,,,
Manhattan View,https://www.crunchbase.com/organization/manhattan-view,"Property Management, Real Estate, Residential","New York, New York, United States",Manhattan View is a real estate firm that provides selling services for residential properties.,"3,201,011","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,http://manhattanview.com,,Real Estate,,11-50,,,,,,,,,,,
PB Magic,https://www.crunchbase.com/organization/pb-magic,Information Technology,"Lakewood, Colorado, United States",PB Magic provides outsourced enterprise applications and related technology services to drive efficiency and effectiveness in information,"3,201,021","Greater Denver Area, Western US",Closed,2000-01-01,year,2009-11-23,day,2009-01-01,year,For Profit,http://www.pbmagic.com/,"PB Magic provides outsourced enterprise applications and related technology services to drive efficiency and effectiveness in information technology operations for all sized companies. Their experience and proven expertise in vertical markets like publishing, media, entertainment, financial services, software and public sector creates success for their clientele.",Information Technology,,,,M&A,,,,,,,,,
Pica Communications,https://www.crunchbase.com/organization/pica-communications,Information Technology,"Mercer Island, Washington, United States",Solving the Microsoft Licensing Puzzle.,"3,201,037","Greater Seattle Area, West Coast, Western US",Active,2010-01-01,year,,,,,For Profit,http://picacommunications.com,"Pica Communications, our primary focus is educating customers about Microsoft licensing, in the belief that customers who understand this complex topic can make smarter choices.",Information Technology,1,1-10,,,,,,,,,,,
nanoarcade,https://www.crunchbase.com/organization/nanoarcade,"Apps, Gaming, Mobile Apps","San Francisco, California, United States",nanoarcade is a center for gaming that allows a user to get access to thousands of game downloads for a flat fee.,"3,201,042","San Francisco Bay Area, West Coast, Western US",Closed,2014-02-01,day,,,,none,For Profit,http://www.nanoarcade.net,,"Apps, Gaming, Mobile, Software",,,,,,,,,,,,,
Radiant Health Strategies,https://www.crunchbase.com/organization/radiant-health-strategies,"Customer Service, Health Care, Professional Services","Oakland, California, United States",Radiant Health Strategies is a health educational business that specializes in holistic healing strategies to eliminate the medication.,"3,201,042","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,For Profit,https://radianthealthstrategies.com/,,"Health Care, Other, Professional Services",,11-50,,,,,,,,,,,
Hornwerk Analytics,https://www.crunchbase.com/organization/hornwerk-analytics,"Analytics, Document Management, Information Technology, Network Security","Denver, Colorado, United States",Hornwerk Analytics is expertise in developing security and network deliver immediate value to users of all backgrounds.,"3,201,044","Greater Denver Area, Western US",Active,2016-01-01,year,,,,,For Profit,https://www.hornwerk.com/,Hornwerk Analytics is a data analytics company provides admins to quickly assess documents shared or accessible for any user. They also help to explore files and drives and helps to approve or run domains to streamline risk assessment.,"Data and Analytics, Information Technology, Privacy and Security, Software",,1-10,,,,,,,,,,,
Advanced Spinal Care,https://www.crunchbase.com/organization/advanced-spinal-care,Health Care,"Hammond, Louisiana, United States","Chiropractor in Hammond, LA","3,201,051",Southern US,Closed,1996-01-01,year,,,,none,For Profit,http://drjaymiller.com,"Address: 2790 W Church St, #4, Hammond, LA 70401, USA",Health Care,,,,,,,,,,,,,
SocialAgenda Media,https://www.crunchbase.com/organization/socialagenda-media,"Crowdfunding, Lead Generation, Professional Services, Public Relations","Philadelphia, Pennsylvania, United States","SocialAgenda Media provides digital public relations, crowdfunding, celebrity engagement, and lead generation services.","3,201,051","Greater Philadelphia Area, Great Lakes, Northeastern US",Active,2012-01-01,year,,,,,For Profit,https://socialagendamedia.com,,"Financial Services, Other, Sales and Marketing",,11-50,,,,,,,,,,,
Quality Motorcars,https://www.crunchbase.com/organization/quality-motorcars,"Automotive, Retail, Technical Support","Richmond, Texas, United States",Quality Motorcars is an automotive dealership that sells cars and accessories.,"3,201,052","Greater Houston Area, Southern US",Active,2007-01-01,year,,,,,For Profit,https://www.qualitymotorcars1.com,"Quality Motorcars sells new, used, and pre-owned cars. They offer maintenance services and inspections before delivering the car to customers. They also provide financing for their buyers and sellers.","Commerce and Shopping, Information Technology, Other, Transportation",,11-50,,,,,,,,,,,
Shopagramr,https://www.crunchbase.com/organization/shopagramr,E-Commerce,"Atlanta, Georgia, United States",Grow sales with shopping on Instagram-Tag products in your Instagram posts to create a seamless shopping experience for your customers.,"3,201,054","Greater Atlanta Area, East Coast, Southern US",Closed,2018-04-02,day,,,,none,For Profit,https://shopagramr.com,"Make any Instagram post shoppable. Provide a seamless in-app shopping experience, from discovery to checkout.",Commerce and Shopping,1,1-10,,,,,,,,,,,
Multi-family Risk Management Group,https://www.crunchbase.com/organization/multi-family-risk-management-group,"Insurance, Property Management, Risk Management","Lufkin, Texas, United States","Multi-family Risk Management Group is a management consulting firm that offers property management, insurance, and risk management services.","3,201,063",Southern US,Active,2003-01-01,year,,,,,For Profit,https://multifamilyrisk.com ,,"Financial Services, Professional Services, Real Estate",,11-50,,,,,,,,,,,
Miracor Diagnostics Inc,https://www.crunchbase.com/organization/miracor-diagnostics-inc,Health Care,"San Diego, California, United States","Miracor Diagnostics, Inc. provides open magnetic resonance imaging services.","3,201,065","Greater San Diego Area, West Coast, Western US",Active,1999-02-06,day,,,,,For Profit,,,Health Care,,,,,,,,,,,,,
Hanna Landis Design,https://www.crunchbase.com/organization/hanna-landis-design,,"Tacoma, Washington, United States",Build Your Brand Grow Your Business We take your online presence from existent to extraordinary.,"3,201,072","Greater Seattle Area, West Coast, Western US",Active,,,,,,,For Profit,https://hannalandisdesigns.com/,"We get it. You need an online presence that compels, excites, and engages. Our creative team of developers, designers, and copywriters have been helping companies like yours for over a decade. We create websites, brands, and copy that convert clicks into customers. Not sure what services you need? We’re here to help you maximize your digital presence.",,,,,,,,,,,,,,
TecnoLatinx XR Lab,https://www.crunchbase.com/organization/tecnolatinx-xr-lab,"Communities, Education","Los Angeles, California, United States","TecnoLatinx offers mixed reality (MR) labs, educational workshops, mentorships and tutoring to young people and their families.","3,201,073","Greater Los Angeles Area, West Coast, Western US",Active,2017-01-01,year,,,,,For Profit,https://tecnolatinx.com/,,"Community and Lifestyle, Education",1,1-10,,,,,,,,,,,
CU in the Morning,https://www.crunchbase.com/organization/cu-in-the-morning,"Communities, Consulting, Social Media","Savoy, Illinois, United States",CU in the Morning is an organization of business owners and leaders in the Champaign County area providing members networking & referrals.,"3,201,074","Great Lakes, Midwestern US",Closed,,,,,,none,For Profit,http://cuinthemorning.biz,,"Community and Lifestyle, Internet Services, Media and Entertainment, Professional Services",,,,,,,,,,,,,
OfficeFlex LLC,https://www.crunchbase.com/organization/officeflex-llc,,"Plano, Texas, United States","Business incubator in Plano, Texas","3,201,076","Dallas/Fort Worth Metroplex, Southern US",Closed,2014-04-04,day,,,,none,For Profit,https://www.officeflexplano.com,,,1,1-10,,,,,,,,,,,
Brothers Boards,https://www.crunchbase.com/organization/brothers-boards,"Retail, Sporting Goods","Aurora, Colorado, United States",Brothers Boards is selling skateboards.,"3,201,078","Greater Denver Area, Western US",Active,,,,,,,For Profit,http://www.thedenvershop.com,,"Commerce and Shopping, Sports",,11-50,,,,,,,,,,,
Teromac Technologies,https://www.crunchbase.com/organization/teromac-technologies,"Information Technology, Mobile Apps, Software, Web Development","New York, New York, United States",Teromac Technologies provides IT and outsourcing services with experience in custom software and web development.,"3,201,089","Greater New York Area, East Coast, Northeastern US",Active,2010-01-01,year,,,,,For Profit,https://teromac.com,,"Apps, Information Technology, Mobile, Software",1,1-10,,,,,,,,,,,
FLO-TECH® O & P Systems,https://www.crunchbase.com/organization/flo-tech-o-p-systems,"Manufacturing, Medical, Medical Device","Trumansburg, New York, United States",FLO-TECH® O & P Systems is a manufacturer of limb post-op and early ambulation care product.,"3,201,095","East Coast, Northeastern US",Active,1987-01-01,year,,,,,For Profit,https://1800flo-tech.com,,"Health Care, Manufacturing",,,,,,,,,,,,,
Actium,https://www.crunchbase.com/organization/actium-5d85,"Information Technology, Software","San Jose, California, United States","Actium helps clients build self-managed, advanced demand generation architectures.","3,201,098","San Francisco Bay Area, Silicon Valley, West Coast",Active,2018-01-01,year,,,,,For Profit,,,"Information Technology, Software",1,,,,,,,,,,,,
Sawyer Data Direct,https://www.crunchbase.com/organization/sawyer-data-direct,"Advertising, Direct Marketing, E-Commerce, Email Marketing, Internet","Wausau, Wisconsin, United States","Sawyer Data Direct is an internet marketing company that sets the standard for generating high volume, sales leads and e-commerce revenue.","3,201,100","Great Lakes, Midwestern US",Active,,,,,,,For Profit,https://www.sawyerdatadirect.com,,"Advertising, Commerce and Shopping, Internet Services, Sales and Marketing",,11-50,,,,,,,,,,,
Riverwalk Innovation District,https://www.crunchbase.com/organization/riverwalk-innovation-district,"Commercial, Real Estate, Residential","Lawrence, Massachusetts, United States",Riverwalk Innovation District is a property management company.,"3,201,101","Greater Boston Area, East Coast, New England",Closed,2003-01-01,year,,,,none,For Profit,https://riverwalkinnovation.com ,"Riverwalk Innovation District provides amenities that include cafes, restaurants, health, and fitness, medical, eye, dental, education, salons, child care, and access to transit. The contact mode is by phone and physical address.","Other, Real Estate",,1-10,,,,,,,,,,,
H Brown Pool Service,https://www.crunchbase.com/organization/h-brown-pool-service,"Home Services, Service Industry","Royal Palm Beach, Florida, United States",H. Brown Pool Service is providing pool cleaning services.,"3,201,102","Greater Miami Area, East Coast, Southern US",Active,2007-01-01,day,,,,,For Profit,http://www.hbrownpoolservices.com/,,"Other, Real Estate",,,,,,,,,,,,,
Omega Design Studio,https://www.crunchbase.com/organization/omega-design-studio,Internet,"Indianapolis, Indiana, United States",Omega Design is a Web design studio.,"3,201,104","Great Lakes, Midwestern US",Active,1994-01-01,year,2022-01-13,day,,,For Profit,http://www.omegadesignstudio.com/,"Omega Design Studio was founded in 1991 by William Vernon. Leaving Eli Lilly's intranet development team, Bill established Omega as a full time web design studio headquarted in downtown Indianapolis. Omega has grown since that time and now employs a staff of full-time designer and developers, with the experience and resources to meet almost any project requirements.",Internet Services,,1-10,,M&A,,,,,,,,,
Neurideon,https://www.crunchbase.com/organization/neurideon,Analytics,"Houston, Texas, United States","Neurideon is an information technology company that offers data storage, data pipelines, and data science solutions.","3,201,114","Greater Houston Area, Southern US",Active,2018-01-01,year,,,,,For Profit,http://www.neurideon.com/,,Data and Analytics,,,,,,,,,,,,,
P-III Associates,https://www.crunchbase.com/organization/p-iii-associates,"Architecture, Communities, Consulting","Utah, Tennessee, United States",P-III Associates is a consulting firm that offers cultural resource services like archeological testing and record searches.,"3,201,115",Southern US,Active,,,,,,,For Profit,http://www.p-iii.com/,,"Community and Lifestyle, Professional Services, Real Estate",,11-50,,,,,,,,,,,
MyOrpheo,https://www.crunchbase.com/organization/myorpheo,"Android, Indoor Positioning, Mobile Apps","New City, New York, United States",MyOrpheo provides mobile app development and content creation services.,"3,201,119","Greater New York Area, East Coast, Northeastern US",Closed,2013-01-01,year,,,,none,For Profit,https://www.myorpheo.com,"MyOrpheo offers custom mobile application development for organizations all over the world, including museums, cities, parks, and more. This includes creating engaging, emotional, and educational visitor experiences.","Apps, Mobile, Navigation and Mapping, Platforms, Software",,1-10,,,,,,,,,,,
Triangle Therapy Services,https://www.crunchbase.com/organization/triangle-therapy-services,"Health Care, Medical, Therapeutics","Eaton, Ohio, United States","Triangle Therapy Services offer occupational, speech, and physical therapies for autism, language delays, and cerebral palsy conditions.","3,201,119","Great Lakes, Midwestern US",Active,1998-01-01,year,,,,,For Profit,https://www.triangletherapyservices.com,,Health Care,1,,,,,,,,,,,,
Paradise Brewing Co,https://www.crunchbase.com/organization/paradise-brewing-co,"Food and Beverage, Restaurants","Kailua Kona, Hawaii, United States",Paradise Brewing Co offers a waterfront dining experience.,"3,201,121","Asia-Pacific (APAC), Western US",Active,2014-06-01,day,,,,,For Profit,http://paradisebrewingcompany.com,,Food and Beverage,,,,,,,,,,,,,
Full Range Income Tax LTD,https://www.crunchbase.com/organization/full-range-income-tax-ltd,Advertising,"Hickory, North Carolina, United States","Tax Agency in Hickory, NC","3,201,123","East Coast, Southern US",Active,,,,,,,For Profit,http://fullrangeincometaxltd.com,"Address: 3651 Springs Rd NE, Hickory, NC 28601, USA","Advertising, Sales and Marketing",,1-10,,,,,,,,,,,
Stratechi,https://www.crunchbase.com/organization/stratechi,"Advice, Consulting, Market Research, Productivity Tools","Littleton, Colorado, United States","Stratechi offers free, simple, and pragmatic strategy and leadership guides, templates, case studies, and tools.","3,201,127","Greater Denver Area, Western US",Active,2018-01-01,year,,,,,For Profit,https://www.stratechi.com,"Stratechi offers free, simple, and pragmatic strategy and leadership guides, templates, case studies, and tools. It covers simple approaches to all the main types of strategy, including business model, competitive, customer, market, geographic, product, service, pricing, distribution, sales, marketing, organizational, people, partners, and process, with free PowerPoint downloads.","Data and Analytics, Design, Media and Entertainment, Professional Services, Software",1,1-10,,,,,,,,,,,
Potter & Brant,https://www.crunchbase.com/organization/potter-brant,"Accounting, Consulting, Financial Services","Clear Lake, Iowa, United States","Potter & Brant provides bookkeeping, payroll, financial statements, accounts receivable, billing, tax preparation and tax planning services.","3,201,135",Midwestern US,Active,2005-01-01,year,,,,,For Profit,https://www.potterandbrant.com/,,"Financial Services, Professional Services",,11-50,,,,,,,,,,,
Business Coaching & Solutions Wasatch Front,https://www.crunchbase.com/organization/business-coaching-solutions-wasatch-front,"Consulting, Education, Information Technology","Westminster, Colorado, United States",The Alternative Board is a company which provide business owner advisory boards and executive coaching services to business owners.,"3,201,136","Greater Denver Area, Western US",Active,,,,,,,For Profit,http://www.tab-wasatchfront.com/,"The Alternative Board Wasatch Front provides small business coaching, Solutions and business tools by our advisory board to get your desired goal. So do not be late and get solution of your business problem. For more information please visit:  http://www.tab-wasatchfront.com/ Address:-   TAB Boards International, Inc. World Headquarters of The Alternative Board® 11031 Sheridan Boulevard Westminster, CO 80020 Toll-free: 1-800-727-0126","Education, Information Technology, Professional Services",,1-10,,,,,,,,,,,
Imagen Semanal,https://www.crunchbase.com/organization/imagen-semanal,Broadcasting,"Naples, Florida, United States",Imagen Semanal is the only printed weekly in Southwest Florida and has a team of professionals in Social Communication.,"3,201,151","East Coast, Southern US",Active,2010-01-01,year,,,,,For Profit,https://www.imagensemanal.com,,"Media and Entertainment, Video",,11-50,,,,,,,,,,,
Clark Appliance Repairer,https://www.crunchbase.com/organization/clark-appliance-repairer,Real Estate,"Oak Ridge, Tennessee, United States"," Off Special Summer Savings. Wherever You Bought It, We’ll Fix It. Home Warranty Solutions.","3,201,154",Southern US,Closed,2015-03-11,day,,,,none,For Profit,http://clarkappliancerepairer.com/," Off Special Summer Savings. Wherever You Bought It, We’ll Fix It. Home Warranty Solutions. Check For Same Day Repair. Professional Technicians.",Real Estate,,,,,,,,,,,,,
Redrock Medical,https://www.crunchbase.com/organization/redrock-medical,Medical Device,"Oklahoma City, Oklahoma, United States","Redrock Medical is a full service, national provider of Medical Equipment & Supplies.","3,201,157",Southern US,Closed,,,2018-09-04,day,,none,For Profit,https://www.redrockmed.com/,"Redrock Medical is a full service, national provider of Medical Equipment & Supplies.",Health Care,,,,M&A,,,,,,,,,
Survival Series Publishing,https://www.crunchbase.com/organization/survival-series-publishing,"Law Enforcement, Professional Services, Publishing","San Francisco, California, United States",Survival Series Publishing is a publishing company that specializes in essential checklists needed to organize and memorize the law.,"3,201,160","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,For Profit,http://www.survival-series.com/,,"Content and Publishing, Government and Military, Media and Entertainment, Other, Privacy and Security",,51-100,,,,,,,,,,,
Up & About Products,https://www.crunchbase.com/organization/up-about-products,Medical,"West Milford, New Jersey, United States",Up & About Products develops next generation assistive aids for senior citizens aging in place and intent on remaining in their homes.,"3,201,161","Greater New York Area, East Coast, Northeastern US",Closed,2014-08-01,day,,,,none,For Profit,http://www.simplehomecaresupply.com/,"Up & About Products develops next generation assistive aids for senior citizens aging in place and intent on remaining in their homes. With a current focus on sit to stand, they have introduced the EZ-Up Stand Assist and Couch Handles products and completed preliminary market evaluations with direct sales through their online store, Amazon and through a local retail pharmacy. They are seeking investment to grow the business including expansion of marketing, production, product development and to provide support for management. They are able to reach customers as a result of their online marketing and branding efforts with an online presence that has been refined for organic and PPC campaigns. They have a social media presence through Facebook that is growing engagement. All of these activities have produced a strong foundation to grow a business in the rapidly growing assistive aids for seniors market. They have strong and experienced management with a track record of building and growing successful medical device companies. They intend to focus on the patent protected EZ-Up Stand Assist until profitable and then to add carefully selected products via organic development and licensing efforts. Company management is deeply networked for rapid staffing and access to talent.",Health Care,,1-10,1,,,USD,,,USD,,,,
Brick Chapel Enterprises,https://www.crunchbase.com/organization/brick-chapel-enterprises,,"Canton, New York, United States",Brick Chapel Enterprises,"3,201,164","East Coast, Northeastern US",Active,,,,,,,For Profit,,,,,,,,,,,,,,,,
Paterson Police Federal Credit Union,https://www.crunchbase.com/organization/paterson-police-federal-credit-union,"Banking, Financial Services, Service Industry","Paterson, New Jersey, United States",Paterson Police Federal Credit Union is a non-profit union that provides financial products and services.,"3,201,168","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,Non-profit,https://www.patersonpolicefcu.com,,"Financial Services, Lending and Investments, Other",,1-10,,,,,,,,,,,
TheFeeFI,https://www.crunchbase.com/organization/thefeefi,"Advice, Financial Services, Wealth Management","Catonsville, Maryland, United States",TheFeeFI offers financial planning and investment management services along with a strategy that helps achieve the financial goals.,"3,201,171","Greater Baltimore-Maryland Area, East Coast, Southern US",Active,1999-01-01,year,,,,,For Profit,https://thefeefi.com,,"Financial Services, Media and Entertainment",,1-10,,,,,,,,,,,
Bluewater Technology Services,https://www.crunchbase.com/organization/bluewater-technology-services,"Banking, Consulting, Financial Services, FinTech, Government","Austin, Texas, United States","Consulting company that provided strategic advice and counsel to government officials, corporate executives, and investment funds.","3,201,177",Southern US,Closed,,,,,,none,For Profit,http://www.bluewaterteam.com,,"Financial Services, Government and Military, Lending and Investments, Professional Services",,1-10,,,,,,,,,,,
Jeff and Joni Finer Realtors,https://www.crunchbase.com/organization/jeff-and-joni-finer-realtors,"Consulting, Property Management, Real Estate","Encino, California, United States","Jeff and Joni is a real estate company that provides home valuation, financial, property management, home buying, and selling services.","3,201,182","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,For Profit,https://jeffandjoni.com/,,"Professional Services, Real Estate",,1-10,,,,,,,,,,,
Polymath Technologies,https://www.crunchbase.com/organization/polymath-technologies-25ea,"Computer, Database, Software","New Hartford, New York, United States",Polymath Technologies is a small software services firm with small businesses and individuals for customers.,"3,201,188","East Coast, Northeastern US",Active,2007-01-01,year,,,,,For Profit,https://www.polymathtech.com,,"Consumer Electronics, Data and Analytics, Hardware, Software",,1-10,,,,,,,,,,,
Ximbee,https://www.crunchbase.com/organization/ximbee,Information Technology,"Shoreline, Washington, United States",Ximbee is a cooperative Tech company with a non-hierarchical organizational structure.,"3,201,189","Greater Seattle Area, West Coast, Western US",Active,2017-01-01,year,,,,,For Profit,https://www.ximbee.com,Ximbee is a cooperative Tech company with a non-hierarchical organizational structure. Ximbee has been designed to address the most pressing existential threats currently facing our population and planet in a new way.  Our model requires no legislative muscle and is not designed to compete with any existing organizations or structures.  Ximbee addresses the problems facing our civilization in a logical non-emotional manner designed to achieve results rather than influence.,Information Technology,,,,,,,,,,,,,
Cleveland Digital Marketing,https://www.crunchbase.com/organization/cleveland-digital-marketing,Advertising,"Cleveland, Ohio, United States",Digital marketing company providing innovative ways of promoting your brand,"3,201,190","Great Lakes, Midwestern US",Active,,,,,,,For Profit,http://clevelanddigitalmarketing.com/,,"Advertising, Sales and Marketing",,,,,,,,,,,,,
American Football News Today,https://www.crunchbase.com/organization/american-football-news-today,"American Football, Digital Media, Professional Services","Miami, Florida, United States","American Football News Today is dedicated to covering all thing professional football, located in Miami, FL.","3,201,198","Greater Miami Area, East Coast, Southern US",Closed,2015-01-01,day,,,,none,For Profit,https://www.americanfootballnewstoday.com/teams/?u=AMERICANFOOTBALLNEWSTODAY&s=football,,"Media and Entertainment, Other, Sports",,11-50,,,,,,,,,,,
Dental Solutions,https://www.crunchbase.com/organization/dental-solutions-58d1,"Dental, Health Care, Medical","Northborough, Massachusetts, United States","Dental Solutions provides dental veneers, invisalign, and teeth whitening services.","3,201,200","East Coast, New England, Northeastern US",Active,,,,,,,For Profit,https://www.dentalsolutionsofnorthboro.com,"Dental Solutions offers cosmetic dentistry services. Their services include dental fillings, dental sealants, root canals, TMJ treatment, tooth extractions, restorative dentistry, cerec dental crowns, dental bridges, dental crowns, dental implants, dentures, partials, gum grafts, and implant-supported dentures.",Health Care,,1-10,,,,,,,,,,,
KloudPics,https://www.crunchbase.com/organization/kloudpics,"Internet, Photography","San Francisco, California, United States",KloudPics is a mobile photo aggregator that's beautiful and simple to use.,"3,201,211","San Francisco Bay Area, West Coast, Western US",Active,2011-01-01,year,,,,,For Profit,http://www.kloudpics.com/,KloudPics is a mobile photo aggregator that's beautiful and simple to use. it creates a personalized photo feed from all your photo services'accounts.,"Content and Publishing, Internet Services, Media and Entertainment",,1-10,,,,,,,,,,,
Eyecrawler,https://www.crunchbase.com/organization/eyecrawler,Social Media,"St. Petersburg, Florida, United States",Eyecrawler is a social media mobile application that easily allows you to update multiple platforms simultaneously.,"3,201,215","Tampa Bay Area, East Coast, Southern US",Closed,,,,,,none,For Profit,http://eyecrawler.com,"Eyecrawler has created the first micro-reporting platform that let's you see a live feed of your city, town, or neighborhood before stepping out. The problem we're solving is a simple one. People want to know what's happening now, before they decide where to go. Our solution is to transform the general public into on-location reporters. The platform consists of an app, widget, and TV product. The mobile app lets users view and share micro-reports called Blinks, which consist of a photo, category, and comment. You can even view Blinks coming from a selected area by category of interest, such as ""live music."" The widget allows websites to display our content feed. Finally, MyCrawler lets venues display live Blinks created in their establishment on their TVs.","Internet Services, Media and Entertainment",,1-10,,,,,,,,,,,
Reason,https://www.crunchbase.com/organization/reason,"Consumer Electronics, Electronics","Brooklyn, New York, United States",The Reason is a washing machine that handle loads of a single garment.,"3,201,218","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,,"The Reason washing machine has a slide-out drum, not unlike a trash compactor, and can handle loads of a single garment all the way up to a winter comforter and duvet. The Reason weighs the load of laundry and calculates the appropriate amount of water and detergent, and custom tailors each cycle to only use what is needed to clean garments. The entire device is operated with a single button, and can handle loads up to 12 kilograms.","Consumer Electronics, Hardware",,101-250,,,,,,,,,,,
Riviere Securities,https://www.crunchbase.com/organization/riviere-securities,"Commercial Real Estate, Credit, Finance, Financial Services","Austin, Texas, United States","Riviere Securities specializes in structured finance transactions, with transaction experience in credit cards and student loans.","3,201,218",Southern US,Active,,,,,,,For Profit,,"Riviere Securities specializes in structured finance transactions, with transaction experience in credit cards and student loans. The company also offers services in auto installments, marine loans, home equity loans (including a high loan to value), municipal structured transactions, legal fees on settlement securitization, trade receivables, health care third-party payers, and commercial real estate. It is located in Austin, Texas Area.","Financial Services, Lending and Investments, Real Estate",,,,,,,,,,,,,
Mixy.tv,https://www.crunchbase.com/organization/mixy-tv,Advertising,"New York, New York, United States",Mixy.tv is an Advertising company.,"3,201,223","Greater New York Area, East Coast, Northeastern US",Closed,,,,,,none,For Profit,http://mixy.tv,,"Advertising, Sales and Marketing",2,1-10,,,,,,,,,,,
Limitless Estates,https://www.crunchbase.com/organization/limitless-estates,,"Scottsdale, Arizona, United States",Limitless Estates is a real estate management company.,"3,201,225","Greater Phoenix Area, Western US",Active,,,2022-01-13,day,,,For Profit,http://www.limitless-estates.com,,,,1-10,,M&A,,,,,,,,,
kinDragon,https://www.crunchbase.com/organization/kindragon,"Information Technology, Internet, Software","Sarasota, Florida, United States",Internet Centric Systems,"3,201,231","East Coast, Southern US",Closed,2010-02-01,day,,,,none,For Profit,http://www.kindragon.com,The primary objective of kinDragon Systems is to develop and support computer software and Internet centric systems.,"Information Technology, Internet Services, Software",,1-10,,,,,,,,,,,
Network Systems,https://www.crunchbase.com/organization/network-systems-2,"Electronics, Video","Dallas, Texas, United States",Network Systems operates as a distribution of video conferencing equipments company.,"3,201,236","Dallas/Fort Worth Metroplex, Southern US",Active,1997-01-01,year,2004-04-20,day,,,For Profit,,Network Systems operates as a distribution of video conferencing equipments company.,"Consumer Electronics, Hardware, Media and Entertainment, Video",,,,M&A,,,,,,,,,
Hardin Genesis,https://www.crunchbase.com/organization/hardin-genesis,"Automotive, E-Commerce","Anaheim, California, United States",Hyundai dealer,"3,201,245","Greater Los Angeles Area, West Coast, Western US",Closed,,,,,,none,For Profit,http://www.hardingenesis.net,"Hardin Genesis in Anaheim, CA treats the needs of each individual customer with paramount concern. We know that you have high expectations, and as a car dealer we enjoy the challenge of meeting and exceeding those standards each and every time. Allow us to demonstrate our commitment to excellence! Our experienced sales staff is eager to share its knowledge and enthusiasm with you. We encourage you to browse our online inventory, schedule a test drive and investigate financing options. You can also request more information about a vehicle using our online form or by calling (866) 977-8948. If you'd like to see a vehicle in person, click on Dealership: Directions for step-by-step driving instructions to our site, or give us a call. We look forward to serving you!","Commerce and Shopping, Transportation",,,,,,,,,,,,,
MidPoint Services,https://www.crunchbase.com/organization/midpoint-services,"Information Technology, Professional Services, Software","Kirkland, Washington, United States",MidPoint Services provides specialize professional services for information technology customers who utilize Kaseya software.,"3,201,245","Greater Seattle Area, West Coast, Western US",Closed,2013-01-01,day,,,,none,For Profit,https://www.midpointservices.com,,"Information Technology, Other, Software",,1-10,,,,,,,,,,,
Hipnoggin Entertainment,https://www.crunchbase.com/organization/hipnoggin,Media and Entertainment,"West Hollywood, California, United States",Talent Management Company,"3,201,252","Greater Los Angeles Area, West Coast, Western US",Closed,2007-01-01,year,,,,none,For Profit,http://www.usbizcatalog.com/c/b/hipnoggin-entertainment-llc/us_la_273088,,Media and Entertainment,1,1-10,,,,,,,,,,,
Nutley Eye Care,https://www.crunchbase.com/organization/nutley-eye-care,"Eyewear, Health Care, Medical, Personal Health","Nutley, New Jersey, United States",Nutley Eye Care provides eye care and optical products.,"3,201,255","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,https://www.nutlyeyecare.com,"Nutley Eye Care provides optometrist services. They provide eye exams, contact lens services, and ocular disease diagnosis and treatment services. They provide inquiries through phone calls and email.","Consumer Goods, Health Care",,,,,,,,,,,,,
